provider,category,cluster,hq_country,eu_regions,billing_granularity,billing_minimum,req_subhour_billing,req_api_provisioning,req_persistent_volume,hard_reqs_passed,eu_residency_bonus,terraform_provider,gh_runner_story,storage_usd_gb_month,egress,verification_status,disqualifiers,notes
Replicate,serverless,serverless / per-second GPU platforms,United States,NONE - region selection is not part of the product surface,per-second,none stated; setup/boot is generally billed on cold predictions,pass,FAIL,FAIL,1,no,none,none,n/a,unknown,NOT_VERIFIED,"CANNOT HOST A RUST CI JOB - the deployable unit is a Cog container exposing predict(); the API is predictions, not job execution. No sandbox, no shell exec, no batch job. No persistent volume. No EU region. Also the highest per-GPU-hour prices in its cluster (L40S $3.51 vs Beam's $1.75).","Well-established and reliable for its actual use case (public model hosting and inference). The mismatch here is categorical, not a quality problem."
Baseten,serverless,serverless / per-second GPU platforms,United States,EU regional environments exist (prod-eu naming) but no EU city/datacenter is named and NO EU PRICE IS PUBLISHED - EU is contact-sales,per-minute,none explicit; pay only for compute time,pass,unknown,unknown,1,unknown,none,none,n/a,unknown,NOT_VERIFIED,"NO 48GB-CLASS GPU AT ALL - the ladder jumps 24GB (L4/A10G) to 40GB (H100 MIG) to 80GB. Likely cannot host cargo test: the deployable unit is a Truss-packaged model behind an inference endpoint, not a run-to-completion job. EU is a sales conversation, so its US prices stand in for prices that do not exist.","Mature and enterprise-oriented; the control-plane/workload-plane split enables self-hosted-in-your-VPC deployment, which is the realistic route to genuine EU residency here."
Together AI,gpu-native,GPU-native clouds,United States,none named anywhere on the pricing page or docs; marketing mentions GDPR without naming a city or region slug,per-hour,CONTESTED - docs say 'no minimum commitment' but the Instant GPU Clusters launch material says provisioning 'for as little as three days',FAIL,pass,unknown,1,unknown,none,none,n/a,unknown,NOT_VERIFIED,"NO 48GB-CLASS SKU AT ALL (catalogue is H100/H200/B200/B300/GB200). A minimum rental measured in DAYS is fatal for minutes-long bursty CI. Product is cluster-shaped, not instance-shaped.","Self-service provisioning is real and fast. The mismatch is product shape, not execution quality."
Voltage Park,gpu-native,GPU-native clouds,United States,"NONE - six/seven Tier 3+ datacenters, all US",per-hour,'No minimum terms'; up within 15 minutes,unknown,pass,unknown,1,no,none,none,unknown,unknown,NOT_VERIFIED,"US-only. H100 only, no 48GB-class SKU. ONLY ONE PRICE IS PUBLISHED ANYWHERE ($1.99 'starting at') - every other tier says 'Contact for pricing', so the real cost of a specific configuration is unknowable without a sales conversation. Documentation site mid-migration and unreadable.","$1.99/GPU-hr is the cheapest H100 figure in the study, which makes the missing EU region genuinely costly - but it is a marketing 'starting at' number, not a rate card."
Fly.io,gpu-native,GPU-native clouds,United States,ams historically carried a100-80gb - now moot,n/a,n/a,n/a,n/a,n/a,0,n/a,none,n/a,"0.15 (Fly Volumes - still live, academic now)",unknown,NOT_VERIFIED,PRODUCT DISCONTINUED. Fly.io GPUs were deprecated as of 2026-07-31 and unavailable after 2026-08-01 - eight days before this study. /docs/gpus/ 404s and the current pricing page makes no mention of GPUs. Any comparison quoting Fly.io GPU pricing is working from stale data.,"Fly Machines' fast-boot model would have been an excellent match for bursty CI, which makes this a genuine loss rather than a near-miss. All prices deliberately null."
CUDO Compute,marketplace,UpCloud plus European neoclouds,United Kingdom,none published,unknown,unknown,unknown,FAIL,unknown,0,unknown,CudoVentures/cudo v0.11.3 STILL IN THE REGISTRY but targets the closed platform - a trap,none,unknown,unknown,NOT_VERIFIED,"PUBLIC ON-DEMAND PLATFORM CLOSED 2026-03-31, per CUDO's own docs. Every GPU now shows 'Quote on request'. The self-serve API-provisioned product this study is looking for no longer exists.","Kept in the comparison precisely because CUDO's cheap-hourly-marketplace reputation is now stale - anyone reasoning from a 2025-era memory would plan around a withdrawn product, and the surviving Terraform provider reinforces the illusion."
FluidStack,gpu-native,GPU-native clouds,United Kingdom,none documented,unknown,unknown,unknown,unknown,unknown,0,unknown,none,none,unknown,unknown,NOT_VERIFIED,NO PUBLIC PRICING PAGE AT ALL (/pricing is a 404). Pivoted from 'Airbnb for GPUs' to a full-stack neocloud that builds datacenters; the private-cloud segment has average contract values above $100M. There is no reachable hourly offering to evaluate.,"Exactly the case worth flagging: historical reputation says cheap marketplace GPUs, current business is contract-scale private cloud. All four requirements reported unknown rather than fail because no page positively establishes either way - but the absence of a pricing page IS the evidence."
GitHub-hosted GPU runners,ci-native,CI-native GPU runners,United States,none documented - no region selection for larger runners at all,per-minute,minutes and partial minutes rounded UP to the nearest whole minute,pass,pass (native),FAIL,2,unknown,none (runner selection is a runs-on label),NATIVE - this IS GitHub's ephemeral runner; zero orchestration code,n/a,free,NOT_VERIFIED,"16GB TESLA T4 ONLY - below the current 24GB apartment 4090, far below the 48GB target. This SKU is a REGRESSION, not an upgrade. No persistent volume for the ~20GB of weights (actions/cache defaults to a 10GB per-repo total). No documented EU region. $3.12/hr for a T4 is worse value than every third-party alternative.","GA since 2024-07-08, Linux and Windows. Price is $0.052/min per current GitHub docs after the 2026-01-01 cut, not the $0.07/min that circulates in third-party writeups."
RunsOn,ci-native (BYO-AWS),CI-native GPU runners,France,any AWS region you choose - it deploys into YOUR AWS account,per-second (AWS EC2),none from RunsOn (flat annual licence); AWS's 60-second Linux minimum applies,pass,pass,pass,3,yes (whichever AWS EU region you pick),not a registry provider; 'Fleet' mode is Terraform-defined runner groups,"THIS IS THE PATTERN, PRODUCTIZED - a control plane in your own AWS account launches an ephemeral EC2 runner per job and terminates it. Flex mode (per-job spec via runs-on labels) or Fleet mode (Terraform-defined groups). Boot ~1 min base images, 2-3 min full.",AWS EBS rates,"AWS rates, no RunsOn markup",NOT_VERIFIED,"Hosts no GPU capacity of its own - you pay AWS GPU list prices, the most expensive tier in this study. Operational overhead: a CloudFormation/Terraform control plane to deploy and maintain.","Licence is a FLAT ANNUAL FEE per legal entity by runner-count tier: Starter (<50k runners/mo) EUR 300/year, Enterprise (500k+) EUR 3,600/year (quoted in EUR; NO FX rate was fetched, so no USD conversion is given). There is a FREE non-commercial tier for open source and personal use requiring only an acknowledgement link - loractl is a public personal repo, so the licence cost is plausibly ZERO. Pre-baked AMIs are the cleanest answer to the 20GB cold-start problem."
Actions Runner Controller (ARC),ci-native (orchestration only),CI-native GPU runners,United States (GitHub first-party OSS),wherever your Kubernetes cluster is,n/a,free OSS; all cost is the underlying GPU node,unknown (depends on node lifecycle),pass,pass,2,yes (by construction),none (Helm; any k8s Terraform provider can drive it),"THE first-party reference implementation - AutoscalingRunnerSet CRDs create one EphemeralRunner Pod per queued job and delete it on completion. GPU via the NVIDIA device plugin on a GPU node pool. 6.4k stars, last push 2026-08-03, release gha-runner-scale-set-0.14.2.",underlying cluster rates,underlying cloud rates,NOT_VERIFIED,NOT A PROVIDER - requires a separate Kubernetes cluster with GPU nodes. Heaviest operational overhead of any option here. Sub-hour economics depend entirely on aggressive node autoscaling; a long-lived GPU node pool bills continuously.,Documented pattern for exactly this problem: pin runners to a labelled node group via nodeAffinity so work PVCs land on the same node and the weight cache is reused across jobs - explicitly trading full ephemeral isolation for cache warmth.
machulav/ec2-github-runner,ci-native (OSS action),CI-native GPU runners,n/a (OSS),any AWS region,per-second (AWS),AWS 60-second Linux minimum,pass,pass,pass,3,yes (whichever AWS EU region),n/a (a GitHub Action),"THE canonical OSS implementation: a start job launches EC2 and registers it, the middle job sets runs-on to the returned label, a stop job terminates. use-jit:true uses GitHub's generate-jitconfig API for single-use runners that auto-deregister - no config.sh, no cleanup race.",AWS EBS rates,AWS rates,NOT_VERIFIED,"Not a provider; AWS account and AWS GPU pricing required. Single-maintainer project: 857 stars, 71 open issues, last push 2026-05-08 (~3 months before this study). AWS-only - no equivalent for the cheaper EU neoclouds.","Pre-baked AMI or an EBS snapshot-restored volume is the simplest credible answer to the 20GB cold-start problem. NOTE the widely-cited philips-labs/terraform-aws-github-runner is ARCHIVED; the maintained project moved to github-aws-runners (v7.10.1, 3,097 stars, pushed 2026-08-08)."
Actuated,ci-native,CI-native GPU runners,United Kingdom,wherever YOUR hardware is - Actuated hosts no compute,flat monthly,"$250/month minimum (Basic tier), by concurrency not usage",FAIL,pass,pass (your own disk),2,yes (your choice),none,"Hosted control plane over self-hosted hardware: one microVM per job (cloud-hypervisor for the GPU path, since Firecracker has no native GPU support), GPU via VFIO PCI passthrough. Genuinely ephemeral and isolated, very fast boot.",n/a (your own disk),n/a,NOT_VERIFIED,"FAILS THE PROJECT'S ACTUAL GOAL - hosts no GPUs; you self-build a workstation or rent bare metal. Their own blog pitches self-building as recovering its cost in a month, which is the opposite direction from 'stop heating the apartment'. $250/month flat with concurrency pricing fails the no-commitment per-second/per-minute requirement. GPU catalogue tops out at 24GB (3090/4090/RTX 4000) - the exact ceiling ADR-0005 already ruled out.","The rent-bare-metal variant does move the heat out of the apartment, but then it is a flat monthly for an always-on dedicated machine at 24GB - strictly worse than Hetzner's GEX131 at 96GB for a comparable monthly."
Cirun.io,ci-native (BYO-cloud),CI-native GPU runners,unknown,any region of your chosen cloud (a region: field in .cirun.yml),mixed - Cirun bills a flat monthly subscription; compute granularity is the underlying cloud's,Open Source tier is FREE for unlimited public repos,pass (via the underlying cloud),pass,unknown,2,yes (your choice),none,"Config-driven: .cirun.yml declares named runners (cloud, region, instance_type, gpu, machine_image, preemptible, labels); a workflow's runs-on picks the label. Automatic nvidia-driver install. Supports GCP, AWS, Azure, Oracle, DigitalOcean, OpenStack AND Vast.ai.",underlying cloud,underlying cloud,NOT_VERIFIED,No hosted GPU capacity of its own. Persistent-volume story undocumented (custom machine_image is the workaround). Teardown/ephemerality is implied by the per-job model but NOT explicitly documented in the YAML reference.,"Open Source tier is free and permanently covers unlimited PUBLIC repos with unlimited GPU runners - loractl is public, so Cirun's licence cost is plausibly $0. The Vast.ai backend is the only path in this study to consumer 4090/5090 rental inside a GitHub Actions workflow."
Namespace,ci-native,CI-native GPU runners,United States,none documented,per-minute,varies,pass,pass,n/a,0,unknown,none,"drop-in runs-on replacement, CPU only",n/a,unknown,NOT_VERIFIED,"NO GPU RUNNERS - catalogue is Linux/Windows/macOS CPU only. Specialised-compute enquiries go to sales; nothing public, nothing priceable.",Out of scope: no GPU.
Depot,ci-native,CI-native GPU runners,United States,none documented,per-minute,varies,pass,pass,n/a,0,unknown,none,"drop-in runs-on replacement, CPU only",n/a,unknown,NOT_VERIFIED,NO GPU RUNNERS - and this is a trap. Third-party comparisons claim Depot has GPU support for GitHub Actions; the runner catalogue is Intel and Arm CPU only. 'GPU enabled builds' appears solely in the Business-plan feature list for Depot's CONTAINER BUILD product.,Out of scope: no GPU.
Blacksmith,ci-native,CI-native GPU runners,United States,none documented,per-minute,varies,pass,pass,n/a,0,unknown,none,"drop-in runs-on replacement, CPU only",n/a,unknown,NOT_VERIFIED,"NO GPU RUNNERS - Ubuntu/Windows/macOS CPU only. Noted anyway as the provider with the best documented sticky-disk primitive ($0.50/GB/month), should they ever add GPUs.",Out of scope: no GPU.
BuildJet,ci-native,CI-native GPU runners,United States,none documented,per-minute,varies,pass,pass,n/a,0,unknown,none,"drop-in runs-on replacement, CPU only",n/a,unknown,NOT_VERIFIED,NO GPU RUNNERS - AMD and ARM CPU only.,Out of scope: no GPU.
Ubicloud,ci-native,CI-native GPU runners,United States,none documented,per-minute,varies,pass,pass,n/a,0,unknown,none,"drop-in runs-on replacement, CPU only",n/a,unknown,NOT_VERIFIED,NO GPU RUNNERS DOCUMENTED for GitHub Actions; the pricing page 404s and no Ubicloud GPU data could be found from any source.,Out of scope: no GPU.
