provider,gpu_model,vram_gb,gpu_count,instance_name,vcpu,ram_gb,local_disk_gb,on_demand_usd_hr,spot_usd_hr,usd_hr_per_gpu,region_priced,tier,source_url,verification_status
AWS EC2,NVIDIA A100 80GB,80,8,p4de.24xlarge,96,1152,8000,34.29122,,4.2864,eu-central-1 Frankfurt,80GB+,https://b0.p.awsstatic.com/pricing/2.0/meteredUnitMaps/ec2/USD/current/ec2-ondemand-without-sec-sel/EU%20(Frankfurt)/Linux/index.json,CORRECTED
Lambda,NVIDIA H100 SXM,80,1,1x H100 SXM (page shows a $3.99-4.29 RANGE; 1x mapping UNVERIFIED),26,225,,4.29,,4.29,global rate card,80GB+,https://lambda.ai/pricing,UNVERIFIABLE
Google Cloud,NVIDIA A100 80GB,80,1,A100 80GB ACCELERATOR-ONLY (vCPU/RAM billed separately - NOT comparable),,,,4.325209,0.5456,4.3252,europe-north1 Finland (EU),80GB+,https://cloud.google.com/skus,UNVERIFIABLE
RunPod (Secure Cloud),NVIDIA H200,141,1,NVIDIA H200 Pod - Secure,,,,4.39,,4.39,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),80GB+,https://www.runpod.io/pricing,CORRECTED
Microsoft Azure,NVIDIA A100 80GB,80,2,Standard_NC48ads_A100_v4,48,,,8.815,1.629012,4.4075,northeurope (EU),80GB+,https://prices.azure.com/api/retail/prices,NOT_VERIFIED
Microsoft Azure,NVIDIA A100 80GB,80,1,Standard_NC24ads_A100_v4,24,,,4.408,0.814598,4.408,northeurope Ireland (EU) - cheapest Azure EU,80GB+,https://prices.azure.com/api/retail/prices,NOT_VERIFIED
DigitalOcean,NVIDIA HGX H100,80,1,HGX H100 GPU Droplet,20,240,720,4.41,,4.41,"NYC2, AMS3 Amsterdam (EU), TOR1",80GB+,https://www.digitalocean.com/pricing/gpu-droplets,CONFIRMED
Shadeform,NVIDIA H200,141,1,H200 (via verda),44,185,1500,4.41,,4.41,FI Central (EU),80GB+,https://api.shadeform.ai/v1/instances/types,NOT_VERIFIED
DigitalOcean,NVIDIA HGX H200,141,1,HGX H200 GPU Droplet,24,240,720,4.47,,4.47,"NYC2, ATL1 - no EU",80GB+,https://www.digitalocean.com/pricing/gpu-droplets,CONFIRMED
Nebius,NVIDIA HGX H200,141,1,HGX H200,,,,4.5,2.45,4.5,"eu-north1 FI, eu-west1 FR (EU); eu-north2 IS (EEA)",80GB+,https://nebius.com/prices,CORRECTED
Modal,NVIDIA H200,141,1,NVIDIA H200 (US base rate),,,,4.5396,,4.5396,base rate; region-agnostic,80GB+,https://modal.com/pricing,CORRECTED
Modal,NVIDIA RTX PRO 6000,96,1,"NVIDIA RTX PRO 6000 (EU-pinned, broad 'eu' 1.5x multiplier)",,,,4.5468,,4.5468,eu (EEA broad),80GB+,https://modal.com/pricing,CORRECTED
RunPod (Serverless),NVIDIA H100 80GB,80,1,NVIDIA H100 80GB Serverless,,,,4.55,,4.55,global list,80GB+,https://www.runpod.io/pricing,CORRECTED
Microsoft Azure,NVIDIA A100 80GB,80,1,Standard_NC24ads_A100_v4,24,,,4.775,1.464492,4.775,swedencentral (EU),80GB+,https://prices.azure.com/api/retail/prices,NOT_VERIFIED
UpCloud,NVIDIA B200,192,1,1x B200 / 12c / 240GB,12,240,,5.2,3.9,5.2,FI-HEL2 Helsinki (EU),80GB+,https://upcloud.com/global/products/gpu-servers/,CORRECTED
Koyeb,NVIDIA B200,180,1,B200,15,240,320,5.5,,5.5,not stated,80GB+,https://www.koyeb.com/pricing,NOT_VERIFIED
Google Cloud,NVIDIA A100 80GB,80,1,a2-ultragpu-1g ALL-IN (12 vCPU + 170 GiB + accelerator),12,170,,5.536,1.756,5.536,europe-north1 Finland (EU),80GB+,https://cloud.google.com/skus,NOT_VERIFIED
RunPod (Community Cloud),NVIDIA B200,180,1,"NVIDIA B200 Pod - Community (3rd-party hosts, NOT preemptible)",,,,5.89,,5.89,EU DCs where stocked,80GB+,https://www.runpod.io/pricing,CORRECTED
RunPod (Secure Cloud),NVIDIA B200,180,1,NVIDIA B200 Pod - Secure,,,,5.89,,5.89,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),80GB+,https://www.runpod.io/pricing,CORRECTED
Modal,NVIDIA H100,80,1,"NVIDIA H100 (EU-pinned, broad 'eu' 1.5x multiplier)",,,,5.9238,,5.9238,eu (EEA broad),80GB+,https://modal.com/pricing,CORRECTED
RunPod (Serverless),NVIDIA H200,141,1,NVIDIA H200 Serverless,,,,5.93,,5.93,global list,80GB+,https://www.runpod.io/pricing,CORRECTED
Cerebrium,NVIDIA B200,180,1,B200,,,,6.012,,6.012,US ONLY,80GB+,https://www.cerebrium.ai/pricing,CORRECTED
Verda,NVIDIA B200 SXM6,180,1,B200 SXM6,30,170,,6.11,3.06,6.11,FIN Helsinki (EU),80GB+,https://verda.com/pricing,CONFIRMED
CoreWeave,NVIDIA H100,80,8,HGX H100 node (8-GPU MINIMUM),,,,49.24,19.51,6.155,EU spot $19.51,80GB+,https://www.coreweave.com/pricing,NOT_VERIFIED
Modal,NVIDIA B200,180,1,NVIDIA B200 (US base rate),,,,6.2496,,6.2496,base rate; region-agnostic,80GB+,https://modal.com/pricing,CORRECTED
Baseten,NVIDIA H100,80,1,"H100 (US price; EU is contact-sales, no EU price exists)",,,,6.4998,,6.4998,default US,80GB+,https://www.baseten.co/pricing/,NOT_VERIFIED
Shadeform,NVIDIA B200,192,1,B200 (via verda) - the only EU-available B200 found,31,170,1500,6.52,,6.52,FI Central (EU),80GB+,https://api.shadeform.ai/v1/instances/types,NOT_VERIFIED
machine.dev,NVIDIA RTX PRO 6000,96,1,RTX 6000 single,,,,6.73,1.18,6.73,NOT available in eu-south-2,80GB+,https://machine.dev/docs/platform-specifications/gpu-runners/,NOT_VERIFIED
Modal,NVIDIA H200,141,1,"NVIDIA H200 (EU-pinned, broad 'eu' 1.5x multiplier)",,,,6.8094,,6.8094,eu (EEA broad),80GB+,https://modal.com/pricing,CORRECTED
Modal,NVIDIA H100,80,1,"H100 (EU narrow eu-west Dublin, 1.75x)",,,,6.9111,,6.9111,eu-west Dublin,80GB+,https://modal.com/pricing,CORRECTED
RunPod (Community Cloud),NVIDIA B300,288,1,"NVIDIA B300 Pod - Community (3rd-party hosts, NOT preemptible)",,,,6.94,,6.94,EU DCs where stocked,80GB+,https://www.runpod.io/pricing,CORRECTED
Lambda,NVIDIA B200 SXM6,180,1,1x B200 SXM6 (page shows a $6.69-6.99 RANGE; 1x mapping UNVERIFIED),26,360,2750,6.99,,6.99,global rate card,80GB+,https://lambda.ai/pricing,UNVERIFIABLE
Modal,NVIDIA B300,288,1,NVIDIA B300 (US base rate),,,,7.0992,,7.0992,base rate; region-agnostic,80GB+,https://modal.com/pricing,CORRECTED
Nebius,NVIDIA HGX B200,180,1,HGX B200,,,,7.15,3.95,7.15,"us-central1, me-west1 - NOT EU",80GB+,https://nebius.com/prices,CORRECTED
Microsoft Azure,AMD Instinct MI300X,192,8,Standard_ND96isr_MI300X_v5,96,,,57.6,10.64448,7.2,northeurope (EU),80GB+,https://prices.azure.com/api/retail/prices,NOT_VERIFIED
AWS EC2,NVIDIA H100 SXM,80,8,p5.48xlarge,192,2048,30720,58.8928,,7.3616,eu-north-1 Stockholm,80GB+,https://b0.p.awsstatic.com/pricing/2.0/meteredUnitMaps/ec2/USD/current/ec2-ondemand-without-sec-sel/EU%20(Stockholm)/Linux/index.json,CORRECTED
RunPod (Secure Cloud),NVIDIA B300,288,1,NVIDIA B300 Pod - Secure,,,,7.39,,7.39,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),80GB+,https://www.runpod.io/pricing,CORRECTED
Verda,NVIDIA B300 SXM6,268,1,B300 SXM6,30,255,,7.5,3.75,7.5,FIN Helsinki (EU),80GB+,https://verda.com/pricing,CONFIRMED
Nebius,NVIDIA HGX B300,288,1,HGX B300,,,,7.85,4.3,7.85,"uk-south1, eu-west2 FR - PRICE NOT CERTIFIED (inconsistent page reads)",80GB+,https://nebius.com/prices,UNVERIFIABLE
Microsoft Azure,NVIDIA H100 NVL,94,1,Standard_NC40ads_H100_v5,40,,,8.376,1.547885,8.376,northeurope Ireland (EU),80GB+,https://prices.azure.com/api/retail/prices,NOT_VERIFIED
AWS EC2,NVIDIA H200,141,8,p5en.48xlarge,192,2048,30720,67.72672,,8.4658,eu-north-1 Stockholm,80GB+,https://b0.p.awsstatic.com/pricing/2.0/meteredUnitMaps/ec2/USD/current/ec2-ondemand-without-sec-sel/EU%20(Stockholm)/Linux/index.json,CORRECTED
Verda,NVIDIA GB300 SXM6,288,1,GB300 SXM6,32,225,,8.62,4.31,8.62,FIN Helsinki (EU),80GB+,https://verda.com/pricing,CONFIRMED
RunPod (Serverless),NVIDIA B200,180,1,NVIDIA B200 Serverless,,,,8.64,,8.64,global list,80GB+,https://www.runpod.io/pricing,CORRECTED
AWS EC2,NVIDIA H100 SXM,80,1,p5.4xlarge (ONLY single-H100 shape in EU),16,256,3840,8.944,,8.944,eu-west-2 London,80GB+,https://b0.p.awsstatic.com/pricing/2.0/meteredUnitMaps/ec2/USD/current/ec2-ondemand-without-sec-sel/EU%20(London)/Linux/index.json,CORRECTED
Microsoft Azure,NVIDIA H100 NVL,94,1,Standard_NC40ads_H100_v5,40,,,9.074,2.675923,9.074,swedencentral (EU),80GB+,https://prices.azure.com/api/retail/prices,NOT_VERIFIED
Modal,NVIDIA B200,180,1,"NVIDIA B200 (EU-pinned, broad 'eu' 1.5x multiplier)",,,,9.3744,,9.3744,eu (EEA broad),80GB+,https://modal.com/pricing,CORRECTED
RunPod (Serverless),NVIDIA B300,288,1,NVIDIA B300 Serverless,,,,9.98,,9.98,global list,80GB+,https://www.runpod.io/pricing,CORRECTED
Modal,NVIDIA B300,288,1,"NVIDIA B300 (EU-pinned, broad 'eu' 1.5x multiplier)",,,,10.6488,,10.6488,eu (EEA broad),80GB+,https://modal.com/pricing,CORRECTED
Google Cloud,NVIDIA H100 80GB,80,1,H100 ACCELERATOR-ONLY (NOT comparable),,,,10.78698,1.0353,10.787,europe-north1 Finland (EU),80GB+,https://cloud.google.com/skus,UNVERIFIABLE
Microsoft Azure,NVIDIA H200,141,8,Standard_ND96isr_H200_v5,96,,,101.76,101.76,12.72,northeurope (EU) - spot meter priced IDENTICAL to on-demand,80GB+,https://prices.azure.com/api/retail/prices,NOT_VERIFIED
Microsoft Azure,NVIDIA H100 SXM,80,8,Standard_ND96isr_H100_v5,96,,,127.816,23.620397,15.977,swedencentral (EU),80GB+,https://prices.azure.com/api/retail/prices,NOT_VERIFIED
Google Cloud,NVIDIA B200,180,1,A4 B200 1-gpu-slice ACCELERATOR-ONLY (NOT comparable),,,,17.721,4.4722,17.721,europe-west4 NL (EU); Finland on-demand SKU absent,80GB+,https://cloud.google.com/skus,UNVERIFIABLE
Microsoft Azure,NVIDIA GB200,186,4,Standard_ND128isr_NDR_GB200_v6,128,,,140.6,140.6,35.15,germanywestcentral (EU) - only Blackwell SKU in Azure EU,80GB+,https://prices.azure.com/api/retail/prices,NOT_VERIFIED
CUDO Compute,NVIDIA H100,80,1,'Quote on request' - public on-demand platform CLOSED 2026-03-31,,,,,,,none published,80GB+,https://www.cudocompute.com/pricing,UNVERIFIABLE
Fly.io,NVIDIA A100 80GB,80,1,a100-80gb - PRODUCT DISCONTINUED 2026-08-01,,,,,,,ams (historical),80GB+,https://fly.io/docs/about/pricing/,UNVERIFIABLE
Genesis Cloud,NVIDIA H100 SXM5,80,1,H100 SXM5 - NO PRICE VERIFIABLE (site 522/404),,,,,,,"NORD-NO-KRS-1 Norway (EEA, not EU)",80GB+,https://developers.genesiscloud.com/compute-api/instance-types,UNVERIFIABLE
Oracle Cloud (OCI),NVIDIA H100,80,8,BM.GPU.H100.8 (8-GPU BARE METAL ONLY),,,,,,,NOT ESTABLISHED - no region list fetched,80GB+,https://docs.oracle.com/en-us/iaas/Content/Compute/References/computeshapes.htm,UNVERIFIABLE
Oracle Cloud (OCI),NVIDIA RTX PRO 6000 Blackwell,96,8,BM.GPU.RTXPRO.8 (8-GPU BARE METAL ONLY),,,,,,,NOT ESTABLISHED - no region list fetched,80GB+,https://docs.oracle.com/en-us/iaas/Content/Compute/References/computeshapes.htm,UNVERIFIABLE
Prime Intellect,NVIDIA H100 80GB,80,1,"NO PRICE OBTAINABLE - pricing page 404s, availability API 403s",,,,,,,europe_west (an API enum value),80GB+,https://docs.primeintellect.ai/api-reference/check-gpu-availability.md,UNVERIFIABLE
Scaleway,NVIDIA H100 SXM,80,2,"H100-SXM-2-80G - PRICE ZONE-GATED, NEVER RENDERED",,,,,,,PAR-2 Paris DC5 (EU) - SKU-in-region CONFIRMED,80GB+,https://www.scaleway.com/en/h100-sxm/,UNVERIFIABLE
Salad,NVIDIA GeForce RTX 4090,24,1,RTX 4090 container group (batch priority),4,8,,0.204,,0.204,consumer network,consumer,https://salad.com/pricing,NOT_VERIFIED
RunPod (Community Cloud),NVIDIA GeForce RTX 3090,24,1,"NVIDIA GeForce RTX 3090 Pod - Community (3rd-party hosts, NOT preemptible)",,,,0.22,,0.22,EU DCs where stocked,consumer,https://www.runpod.io/pricing,CORRECTED
Salad,NVIDIA GeForce RTX 5090,32,1,RTX 5090 container group (batch priority),4,8,,0.294,,0.294,"country-pinnable, but nodes are consumer gaming PCs",consumer,https://salad.com/pricing,NOT_VERIFIED
Vast.ai,NVIDIA GeForce RTX 4090,24,1,host offer,8,84,486,0.3304,0.3333,0.3304,Sweden (EU),consumer,https://console.vast.ai/api/v0/bundles/,NOT_VERIFIED
RunPod (Community Cloud),NVIDIA GeForce RTX 4090,24,1,"NVIDIA GeForce RTX 4090 Pod - Community (3rd-party hosts, NOT preemptible)",,,,0.34,,0.34,EU DCs where stocked,consumer,https://www.runpod.io/pricing,CORRECTED
Vast.ai,NVIDIA GeForce RTX 5090,32,1,host offer,10,31,42,0.3644,0.2667,0.3644,France (EU) - only 42GB local disk,consumer,https://console.vast.ai/api/v0/bundles/,NOT_VERIFIED
RunPod (Secure Cloud),NVIDIA GeForce RTX 3090,24,1,NVIDIA GeForce RTX 3090 Pod - Secure,,,,0.46,,0.46,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),consumer,https://www.runpod.io/pricing,CORRECTED
RunPod (Community Cloud),NVIDIA GeForce RTX 5090,32,1,"NVIDIA GeForce RTX 5090 Pod - Community (3rd-party hosts, NOT preemptible)",,,,0.69,,0.69,EU DCs where stocked,consumer,https://www.runpod.io/pricing,CORRECTED
RunPod (Secure Cloud),NVIDIA GeForce RTX 4090,24,1,NVIDIA GeForce RTX 4090 Pod - Secure,,,,0.69,,0.69,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),consumer,https://www.runpod.io/pricing,CORRECTED
Beam Cloud,NVIDIA GeForce RTX 4090,24,1,RTX 4090 PCIE,,,,0.6912,,0.6912,not stated,consumer,https://www.beam.cloud/pricing,NOT_VERIFIED
RunPod (Secure Cloud),NVIDIA GeForce RTX 5090,32,1,NVIDIA GeForce RTX 5090 Pod - Secure,,,,0.99,,0.99,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),consumer,https://www.runpod.io/pricing,CORRECTED
RunPod (Serverless),NVIDIA GeForce RTX 4090,24,1,NVIDIA GeForce RTX 4090 Serverless,,,,1.1,,1.1,global list,consumer,https://www.runpod.io/pricing,CORRECTED
RunPod (Community Cloud),NVIDIA RTX A5000,24,1,"NVIDIA RTX A5000 Pod - Community (3rd-party hosts, NOT preemptible)",,,,0.16,,0.16,EU DCs where stocked,other,https://www.runpod.io/pricing,CORRECTED
RunPod (Secure Cloud),NVIDIA RTX A5000,24,1,NVIDIA RTX A5000 Pod - Secure,,,,0.27,,0.27,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),other,https://www.runpod.io/pricing,CORRECTED
RunPod (Secure Cloud),NVIDIA L4,24,1,NVIDIA L4 Pod - Secure,,,,0.39,,0.39,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),other,https://www.runpod.io/pricing,CORRECTED
RunPod (Community Cloud),NVIDIA L4,24,1,"NVIDIA L4 Pod - Community (3rd-party hosts, NOT preemptible)",,,,0.44,,0.44,EU DCs where stocked,other,https://www.runpod.io/pricing,CORRECTED
Modal,NVIDIA T4,16,1,NVIDIA T4 (US base rate),,,,0.59,,0.59,base rate; region-agnostic,other,https://modal.com/pricing,CORRECTED
UpCloud,NVIDIA L4,24,1,1x L4 / 8c / 64GB,8,64,,0.69,0.68,0.69,FI-HEL2 Helsinki (EU),other,https://upcloud.com/global/products/gpu-servers/,CORRECTED
DigitalOcean,NVIDIA RTX 4000 Ada,20,1,RTX 4000 Ada GPU Droplet,8,32,500,0.76,,0.76,TOR1 only,other,https://www.digitalocean.com/pricing/gpu-droplets,CONFIRMED
Modal,NVIDIA L4,24,1,NVIDIA L4 (US base rate),,,,0.8,,0.8,base rate; region-agnostic,other,https://modal.com/pricing,CORRECTED
Modal,NVIDIA T4,16,1,"NVIDIA T4 (EU-pinned, broad 'eu' 1.5x multiplier)",,,,0.885,,0.885,eu (EEA broad),other,https://modal.com/pricing,CORRECTED
OVHcloud,NVIDIA L4,24,1,l4-90,22,90,400,1.0,,1.0,Gravelines FR (EU),other,https://www.ovhcloud.com/en/public-cloud/prices/,NOT_VERIFIED
Modal,NVIDIA A10,24,1,NVIDIA A10 (US base rate),,,,1.1,,1.1,base rate; region-agnostic,other,https://modal.com/pricing,CORRECTED
Modal,NVIDIA L4,24,1,"NVIDIA L4 (EU-pinned, broad 'eu' 1.5x multiplier)",,,,1.2,,1.2,eu (EEA broad),other,https://modal.com/pricing,CORRECTED
Verda,NVIDIA A100 SXM4 40GB,40,1,A100 SXM4 40GB,22,120,,1.29,0.645,1.29,FIN Helsinki (EU),other,https://verda.com/pricing,CONFIRMED
Modal,NVIDIA A10,24,1,"NVIDIA A10 (EU-pinned, broad 'eu' 1.5x multiplier)",,,,1.65,,1.65,eu (EEA broad),other,https://modal.com/pricing,CORRECTED
Cerebrium,NVIDIA A100 40GB,40,1,A100 40GB,,,,1.998,,1.998,not stated,other,https://www.cerebrium.ai/pricing,CORRECTED
Modal,NVIDIA A100 40GB,40,1,NVIDIA A100 40GB (US base rate),,,,2.1,,2.1,base rate; region-agnostic,other,https://modal.com/pricing,CORRECTED
AWS EC2,NVIDIA A100 40GB,40,8,p4d.24xlarge,96,1152,8000,23.71569,,2.9645,eu-north-1 Stockholm,other,https://b0.p.awsstatic.com/pricing/2.0/meteredUnitMaps/ec2/USD/current/ec2-ondemand-without-sec-sel/EU%20(Stockholm)/Linux/index.json,CORRECTED
GitHub-hosted GPU runners,NVIDIA Tesla T4,16,1,linux_4_core_gpu ($0.052/min x60),4,28,176,3.12,,3.12,not region-selectable,other,https://docs.github.com/en/billing/reference/actions-runner-pricing,NOT_VERIFIED
Modal,NVIDIA A100 40GB,40,1,"NVIDIA A100 40GB (EU-pinned, broad 'eu' 1.5x multiplier)",,,,3.15,,3.15,eu (EEA broad),other,https://modal.com/pricing,CORRECTED
